Sample	Latitude	Longitude	Salinity	NO2 (umol/L)	PO4 (umol/L)	NO2NO3 (umol/L)	Mean Chloro HPLC adjusted (mg Chl/m3)	Mean Temperature deg C	Mean Oxygen adjusted (umol/Kg)	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
S4DCM	36.573	-6.538667	36.556443				0.880307	16.246331			
S4SUR	36.553333	-6.566833	36.6324				0.078	20.5251			686.086
S7DCM	37.038683	1.949833		0	0.01	0.03	0.553274	17.36746			354.2245
S7SUR	37.021067	1.949467	37.4911	0	0.06	0.03	0.0812	23.82575			354.2245
S9DCM	39.0734	5.859833	37.8232	0.02	0.02	0.08	0.434367	16.151933			205.122
S9SUR	39.163317	5.916	37.8053	0.01	0.02	0.03	-0.00745	24.50375			205.122
S18DCM	35.76055	14.25215	37.89241	0.025	0.013	0.02	0.132494	18.36839	237.8893		331.789
S18SUR	35.757733	14.260883	37.89245	0.018	0.026	0.12	0.048898	21.4395	207.791417		331.789
S23DCM	42.174367	17.719383	38.395417	0.01	0.01	0.05	0.236208	15.705783	224.266917	1.897733	478.135
S23SUR	42.20535	17.714017	38.187633	0.01	0.01	0.04	0.172965	17.636575	220.000333	2.376476	478.135
S25DCM	39.40855	19.380733	38.475705	0.07	0.07	0.15	0.201016	15.161277	229.547682	0.190245	481.038
S25SUR	39.387717	19.390967	38.182917	0	0.01	0.03	0.121845	18.342533	218.016833	0.073285	481.038
S30DCM	33.925292	32.774146	39.255952	0.01	0	0.02	0.141478	18.979535	218.132538	0.014051	269.659
S30SUR	33.91795	32.894367	39.425058	0	0	0.05	0.044622	20.45375	207.567167	0.215913	255.266
S31SUR	27.155	34.83	39.981867	0.014	0.024	0.03	0.048898	25.0621	188.763583	0.381563	343.667
S32DCM	23.38	37.291667	40.196433	0.01	0.025	0.01	0.224444	26.050367	179.968	0.256995	292.941
S32SUR	23.36	37.218333	39.74725	0.014	0.018	0	0	25.824383	188.416583	0.112685	278.695
S33SUR	21.98	38.235	38.937417	0	0.053	0	0.163228	27.329517	182.812167		311.151
S34DCM	18.398333	39.861667	38.916583	0.27	0.09	0.64	0.181406	27.589917	175.384083	1.032333	471.643
S34SUR	18.396667	39.876667	38.646858	0.02	0.19	0.03	0.186697	27.59865	184.061167	0.956369	471.643
S36DCM	20.81755	63.512117	36.549267	0.51	0.51	2.08	0.353707	25.37395	211.606583	10.505774	1428.93
S36SUR	20.818333	63.50465	36.530058	0.05	0.37	0.13	0.129697	25.581433	210.8972	12.549114	1428.93
S38DCM	19.025767	64.622667		0.7	0.42	1.86	0.604752	25.494408	154.699917	4.778773	882.657
S38SUR	19.038633	64.493667	36.617917	0.01	0.32	0.06	0.161808	26.2314	199.9355	5.040222	917.2045
S39DCM	18.570217	66.486117	36.332317	0.02	0.26	0.09	0.17638	26.812225	192.95875	3.546735	543.1065
S41DCM	14.56	70.011667	36.496162	0.07	0.34	0.49	0.47554	27.117663	148.328125	2.951673	347.4235
S41SUR	14.5954	69.981	36.024883	0	0.14	0.09	0.020173	29.089367	187.42925	1.179423	347.4235
S42DCM	5.999683	73.901517	35.103505	0.15	0.34	1.39	0.388348	27.723425	132.77885	0.199944	202.331
S42SUR	6.031333	73.89415	34.56155	0	0.08	0.03	0.006724	29.980283	189.25475	0.386671	202.331
S45SUR	0.004567	71.64395	35.091133	0.02	1.94	28.64	0.026898	30.496383	185.243833	0.138631	225.877
S48SUR	-9.392117	66.4236	34.1689	0.01	0.08	0.06	0	29.818233	187.2575	0.40247	159.033
S52DCM	-16.959783	54.013367	34.910755	0.03	0.18	0.47	0.394226	24.89426	192.55925	0.511743	122.80175
S52SUR	-16.957033	53.985183	34.566667	0	0.12	0	0.176565	27.8684	191.68	0.118947	122.80175
S56SUR	-15.33795	43.2948	35.003133				0.04282	27.323117	193.05775	0.180315	304.319
S57SUR	-17.023783	42.741517	35.05375	0.02	0	0	0.085544	26.965433	190.05375		308.9225
S58DCM	-17.318917	42.285267	35.163345	0.03	0	0.06	0.332199	25.308318	185.01		292.188
S62SUR	-21.375317	39.563317	35.324825				0.089746	25.080167	199.895917		327.708
S64DCM	-29.543567	37.9356	35.335545	0	0.08	0.02	0.214573	22.250309	207.446227	0.316843	492.7005
S64SUR	-29.502217	37.9904	35.334717	0	0.08	0	0.162993	22.165567	210.00775	0.924125	489.85775
S65DCM	-35.246808	26.309575					0.272648	21.81495	206.43725		502.044
S65SUR	-35.188867	26.28905	35.44666				0.215292	21.81684	207.0439	2.66565	502.044
S66DCM	-34.893308	18.072967	35.3315	0.26	0.37	3.23	0.424363	15.01895	240.4135		561.024
S66SUR	-34.936267	17.936583	35.323317	0.3	0.34	3.34	0.250054	15.033492	238.916333	0.443305	715.14
